,Product Line Target GM PCT,Dealer Target GM PCT - quarter level,Year,Quarter,Total List Price,Invoice Price,Discount Amount,Discount PCT,Discount Rate %,List Price Adherence %,COGS,Gross Margin,Gross Margin PCT,GM USD,Gross Margin %,Predicted Gross Margin PCT,Predicted Invoice Price,Predicted COGS,Seasonality Index,Premium Product Mix %
Product Line Target GM PCT,1.0,0.8365960209502253,-0.007001346966557397,-0.003985643145646138,0.045934430914135516,0.04935809632301306,0.0038364290273752003,-0.6367225498252483,-0.6367218615426191,0.6367215587056282,0.04258936902188416,0.06134275892392293,0.8298309421636606,0.06134275892380583,0.8298321557650276,,,,-0.0022671299417969175,0.00031324687897557444
Dealer Target GM PCT - quarter level,0.8365960209502253,1.0,-0.011787903400976091,0.003189359424244808,-0.14722295252170414,-0.14414961425030318,-0.1643915382342528,-0.4990622957431083,-0.49906182659275616,0.49906239429784705,-0.15269386576217892,-0.12803073908108692,0.8065453725098958,-0.1280307390832721,0.8065483640987741,,,,-0.002847965067808483,0.01729856303586495
Year,-0.007001346966557397,-0.011787903400976091,1.0,-0.2877362352755606,0.0029317409219332454,0.0028482479413297593,0.003515005605314562,-0.02030852285611181,-0.02030829006042463,0.020306360021008222,0.0028930470087812125,0.0027536950968095305,0.00722143620874229,0.002753695092842673,0.007220175554586684,,,,0.0005964059999996709,-0.0013239288730166098
Quarter,-0.003985643145646138,0.003189359424244808,-0.2877362352755606,1.0,-0.006823810298675489,-0.007762019212457802,0.004081865807826765,0.0744432007818333,0.0744420373439981,-0.07444256088790464,-0.007007807857930557,-0.009086567420175743,-0.046594915700081216,-0.009086567415712886,-0.04659175734419905,,,,-0.379824827253939,0.004283094769578184
Total List Price,0.045934430914135516,-0.14722295252170414,0.0029317409219332454,-0.006823810298675489,1.0,0.999184829343258,0.8994027344446625,-0.06141387248829494,-0.06141435757641731,0.061414030939695885,0.9997574008700347,0.9933573514948045,-0.025067807696465348,0.9933573514945234,-0.025074879336791134,,,,0.004795489757283263,0.21838729137264898
Invoice Price,0.04935809632301306,-0.14414961425030318,0.0028482479413297593,-0.007762019212457802,0.999184829343258,1.0,0.8810233204689443,-0.06951093778281414,-0.06951144503089446,0.0695110880859616,0.9990535822646647,0.9969112640673834,-0.018423098975253047,0.9969112640671441,-0.018430212719723733,,,,0.006032141086994376,0.21640885961085318
Discount Amount,0.0038364290273752003,-0.1643915382342528,0.003515005605314562,0.004081865807826765,0.8994027344446625,0.8810233204689443,1.0,0.0329818317144095,0.03298163965604591,-0.03298160237156511,0.8979809541721385,0.8461782316066717,-0.09427412954970368,0.8461782316060632,-0.09427997147651558,,,,-0.009119793458950266,0.21591307199752893
Discount PCT,-0.6367225498252483,-0.4990622957431083,-0.02030852285611181,0.0744432007818333,-0.06141387248829494,-0.06951093778281414,0.0329818317144095,1.0,0.9999999834250172,-0.9999999834240958,-0.05856689108267458,-0.08893777832115954,-0.9091820409501001,-0.08893777831789616,-0.9091796617415799,,,,-0.09098589168626671,-0.05856126063591203
Discount Rate %,-0.6367218615426191,-0.49906182659275616,-0.02030829006042463,0.0744420373439981,-0.06141435757641731,-0.06951144503089446,0.03298163965604591,0.9999999834250172,1.0,-0.9999999777805945,-0.058567415491579594,-0.08893825215048685,-0.9091819003650761,-0.08893825214722595,-0.9091795208911375,,,,-0.09098504995746245,-0.05856100700022837
List Price Adherence %,0.6367215587056282,0.49906239429784705,0.020306360021008222,-0.07444256088790464,0.061414030939695885,0.0695110880859616,-0.03298160237156511,-0.9999999834240958,-0.9999999777805945,1.0,0.05856703310034687,0.08893794286328564,0.9091819855615584,0.08893794286002049,0.9091796060997676,,,,0.0909867999890352,0.05856260283934065
COGS,0.04258936902188416,-0.15269386576217892,0.0028930470087812125,-0.007007807857930557,0.9997574008700347,0.9990535822646647,0.8979809541721385,-0.05856689108267458,-0.058567415491579594,0.05856703310034687,1.0,0.9925517258006465,-0.029504987054054032,0.9925517258002606,-0.029512029635729773,,,,0.004932828986743356,0.21144649306188848
Gross Margin,0.06134275892392293,-0.12803073908108692,0.0027536950968095305,-0.009086567420175743,0.9933573514948045,0.9969112640673834,0.8461782316066717,-0.08893777832115954,-0.08893825215048685,0.08893794286328564,0.9925517258006465,1.0,0.0016744942319260553,1.000000000000002,0.0016672861261804914,,,,0.00798809462277936,0.22433056084242625
Gross Margin PCT,0.8298309421636606,0.8065453725098958,0.00722143620874229,-0.046594915700081216,-0.025067807696465348,-0.018423098975253047,-0.09427412954970368,-0.9091820409501001,-0.9091819003650761,0.9091819855615584,-0.029504987054054032,0.0016744942319260553,1.0,0.001674494228569148,0.9999999103404299,,,,0.055607368488682536,0.04310545186588049
GM USD,0.06134275892380583,-0.1280307390832721,0.002753695092842673,-0.009086567415712886,0.9933573514945234,0.9969112640671441,0.8461782316060632,-0.08893777831789616,-0.08893825214722595,0.08893794286002049,0.9925517258002606,1.000000000000002,0.001674494228569148,1.0,0.0016672861228232152,,,,0.007988094616174434,0.22433056084413838
Gross Margin %,0.8298321557650276,0.8065483640987741,0.007220175554586684,-0.04659175734419905,-0.025074879336791134,-0.018430212719723733,-0.09427997147651558,-0.9091796617415799,-0.9091795208911375,0.9091796060997676,-0.029512029635729773,0.0016672861261804914,0.9999999103404299,0.0016672861228232152,1.0,,,,0.05560624955087987,0.04310177001012319
Predicted Gross Margin PCT,,,,,,,,,,,,,,,,,,,,
Predicted Invoice Price,,,,,,,,,,,,,,,,,,,,
Predicted COGS,,,,,,,,,,,,,,,,,,,,
